gene_name	MCAO1	MCAO2	MCAO3	MCAO+EXE1	MCAO+EXE2	MCAO+EXE3
Birc3	271	183	137	8	10	6
Casp1	175	139	72	37	19	14
Casp8	149	77	78	17	13	21
Ccl2	1102	368	2405	24	2	0
Ccl4	128	70	94	5	0	2
Ccl5	6	37	20	1	0	14
Cd40	45	77	30	11	7	7
Cxcl1	171	363	176	4	1	0
Cxcl2	326	93	110	3	2	0
Fos	5131	210	1746	95	296	468
Icam1	1475	536	1682	51	79	72
Il18	110	28	80	19	14	14
Il1b	220	674	119	5	4	0
Il1r1	1004	297	521	108	108	133
Irf1	479	1081	335	127	99	159
Jun	10507	2921	8872	2711	2279	2813
Mlkl	100	81	35	11	6	4
Mmp9	1758	400	1451	57	79	9
Myd88	864	311	769	114	102	94
Nfkb2	749	403	362	93	105	73
Nfkbia	2593	906	1008	388	461	505
Nlrp3	216	173	111	43	37	27
Nod2	58	60	19	6	2	7
Ripk3	664	197	267	10	15	23
Socs3	2216	806	1386	32	12	19
Stat1	1364	2122	977	650	686	699
Syk	714	231	414	65	94	51
Tnfaip3	553	343	376	143	96	158
Tnfrsf1a	2642	949	1671	282	233	326
Traf1	70	20	8	4	8	0
